K_path,L_path,N_params,R_params,S_path,accuracy_main,alloc,backbone_params,c_backward,c_forward,cfg_reward_model_params,compute_band,correctness_train_proxy_mean,dataset_name,dense_closeness_mean,dense_correct_mean,dense_err_scale,f_lora,flops_scale_backward,flops_scale_forward,full_finetuning,gradient_accumulation_steps,judge_model_path,judge_tag,kl_beta,learning_rate,log10_total_flops,lora_alpha,lora_dropout,lora_r,lora_rank_path,lr_scheduler_type,max_completion_length,max_prompt_length,max_steps,model_name,model_tag,num_generations,optim,output_dir,per_device_train_batch_size,primary_reward_max,primary_reward_mean,primary_reward_min,primary_reward_std,prm_alpha,prm_correct_mean,prm_device,prm_include_outcome,prm_max_steps_scored,prm_model_name,prm_num_scored_steps_mean,prm_outcome_scale,prm_params,prm_proc_mean,prm_tp_correct_mean,prm_tp_neg_threshold,prm_tp_num_correct_thoughts_mean,prm_tp_num_incorrect_thoughts_mean,prm_tp_num_thoughts_mean,prm_tp_pos_threshold,prm_tp_proc_mean,reuse_prefill_across_K,reward_check_answer_count,reward_check_answer_max,reward_check_answer_mean,reward_check_answer_min,reward_check_answer_std,reward_check_numbers_count,reward_check_numbers_max,reward_check_numbers_mean,reward_check_numbers_min,reward_check_numbers_std,reward_clip_max,reward_clip_min,reward_dense_closeness_count,reward_dense_closeness_max,reward_dense_closeness_mean,reward_dense_closeness_min,reward_dense_closeness_std,reward_dense_correct_count,reward_dense_correct_max,reward_dense_correct_mean,reward_dense_correct_min,reward_dense_correct_std,reward_dense_format_count,reward_dense_format_max,reward_dense_format_mean,reward_dense_format_min,reward_dense_format_std,reward_match_format_approximately_count,reward_match_format_approximately_max,reward_match_format_approximately_mean,reward_match_format_approximately_min,reward_match_format_approximately_std,reward_match_format_exactly_count,reward_match_format_exactly_max,reward_match_format_exactly_mean,reward_match_format_exactly_min,reward_match_format_exactly_std,reward_mode,reward_model_params,reward_path,reward_prm_correct_count,reward_prm_correct_max,reward_prm_correct_mean,reward_prm_correct_min,reward_prm_correct_std,reward_prm_num_scored_steps_count,reward_prm_num_scored_steps_max,reward_prm_num_scored_steps_mean,reward_prm_num_scored_steps_min,reward_prm_num_scored_steps_std,reward_prm_proc_count,reward_prm_proc_max,reward_prm_proc_mean,reward_prm_proc_min,reward_prm_proc_std,reward_prm_tp_correct_count,reward_prm_tp_correct_max,reward_prm_tp_correct_mean,reward_prm_tp_correct_min,reward_prm_tp_correct_std,reward_prm_tp_num_correct_thoughts_count,reward_prm_tp_num_correct_thoughts_max,reward_prm_tp_num_correct_thoughts_mean,reward_prm_tp_num_correct_thoughts_min,reward_prm_tp_num_correct_thoughts_std,reward_prm_tp_num_incorrect_thoughts_count,reward_prm_tp_num_incorrect_thoughts_max,reward_prm_tp_num_incorrect_thoughts_mean,reward_prm_tp_num_incorrect_thoughts_min,reward_prm_tp_num_incorrect_thoughts_std,reward_prm_tp_num_thoughts_count,reward_prm_tp_num_thoughts_max,reward_prm_tp_num_thoughts_mean,reward_prm_tp_num_thoughts_min,reward_prm_tp_num_thoughts_std,reward_prm_tp_proc_count,reward_prm_tp_proc_max,reward_prm_tp_proc_mean,reward_prm_tp_proc_min,reward_prm_tp_proc_std,reward_sparse_correct_count,reward_sparse_correct_max,reward_sparse_correct_mean,reward_sparse_correct_min,reward_sparse_correct_std,reward_standardize,reward_total_reward_count,reward_total_reward_max,reward_total_reward_mean,reward_total_reward_min,reward_total_reward_std,reward_verifier_correct_count,reward_verifier_correct_max,reward_verifier_correct_mean,reward_verifier_correct_min,reward_verifier_correct_std,reward_verifier_fmt_count,reward_verifier_fmt_max,reward_verifier_fmt_mean,reward_verifier_fmt_min,reward_verifier_fmt_std,reward_verifier_proc_count,reward_verifier_proc_max,reward_verifier_proc_mean,reward_verifier_proc_min,reward_verifier_proc_std,rho_rollout_search_learning,rho_rollout_total,rho_update_search_learning,rho_update_total,rollout_flops,rollout_tokens,run_dir,run_validation,scope,seed,seed_path,sparse_correct_mean,stage,structured_check_answer_mean,structured_check_numbers_mean,summary_path,temperature,thought_sep_mode,total_flops,total_params,tp_capability_adaptive,tp_correct_path_bonus,tp_correct_thought_reward,tp_group_std_eps,tp_incorrect_thought_penalty,tp_leave_unmatched_incorrect_zero,tp_merge_same_sign,tp_neutral_thought_reward,tp_only_penalize_error_thoughts,tp_outcome_bonus_scale,tp_wrong_final_penalty,trainable_params_lora,update_backbone_fraction,update_backbone_fraction_a,update_effective_param_fraction,update_flops,update_tokens,use_peft,validation_accuracy_exact,validation_format_ok_rate,validation_has_reasoning_rate,validation_hit_max_length_rate,validation_max_examples,validation_mean_completion_tokens,validation_num_examples,validation_seed,validation_size,validation_temperature,validation_top_p,verifier_correct_mean,verifier_device,verifier_max_new_tokens,verifier_model_name,verifier_proc_mean,warmup_ratio,weight_decay
2,2048,1562179072,0,204,0.03431372549019608,a100,1562179072,6.0,2.0,0,C1,0.03431372549019608,polaris53k,0.0,0.0,5.0,0.011819879251333359,,,,8,,,0.001,,16.2494731750924,32,,16,16,,2048,,204,Qwen/Qwen2.5-1.5B-Instruct,Qwen__Qwen2.5-1.5B-Instruct,2,,runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-1.5B-Instruct/r16/seed42/K2_L2048_S204,,1.0,0.03431372549019608,0.0,0.18203377085908962,0.8,0.0,cuda,False,64,,0.0,1.0,0,0.0,,,,,,,,False,1632,0.0,0.0,0.0,0.0,1632,0.0,0.0,0.0,0.0,1.0,-1.0,1632,0.0,0.0,0.0,0.0,1632,0.0,0.0,0.0,0.0,1632,0.0,0.0,0.0,0.0,1632,0.0,0.0,0.0,0.0,1632,0.0,0.0,0.0,0.0,sparse,,sparse,1632,0.0,0.0,0.0,0.0,1632,0.0,0.0,0.0,0.0,1632,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1632,1.0,0.03431372549019608,0.0,0.18203377085908962,False,1632,1.0,0.03431372549019608,0.0,0.18203377085908962,1632,0.0,0.0,0.0,0.0,1632,0.0,0.0,0.0,0.0,1632,0.0,0.0,0.0,0.0,0.28126871745777815,0.28126871745777815,0.7187312825422218,0.718731282542222,4995679956916224.0,1598946.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-1.5B-Instruct/r16/seed42/K2_L2048_S204,True,core_scaling,42,42,0.03431372549019608,stageA,0.0,0.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-1.5B-Instruct/r16/seed42/K2_L2048_S204/logs/summary.json,0.5,,1.7761235597293666e+16,1562179072,,,,,,,,,,,,18464768,0.85,0.85,0.8517729818877,1.2765555640377444e+16,1598946.0,,,,,,1000,,,12345,1000,0.0,1.0,0.0,,,,0.0,,
2,2048,1617573376,0,196,0.036989795918367346,a100,1617573376,6.0,2.0,0,C1,0.036989795918367346,polaris53k,0.0,0.0,5.0,0.045660415221868735,,,,8,,,0.001,,16.242927288687852,128,,64,64,,2048,,196,Qwen/Qwen2.5-1.5B-Instruct,Qwen__Qwen2.5-1.5B-Instruct,2,,runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-1.5B-Instruct/r64/seed42/K2_L2048_S196,,1.0,0.036989795918367346,0.0,0.18873672381464315,0.8,0.0,cuda,False,64,,0.0,1.0,0,0.0,,,,,,,,False,1568,0.0,0.0,0.0,0.0,1568,0.0,0.0,0.0,0.0,1.0,-1.0,1568,0.0,0.0,0.0,0.0,1568,0.0,0.0,0.0,0.0,1568,0.0,0.0,0.0,0.0,1568,0.0,0.0,0.0,0.0,1568,0.0,0.0,0.0,0.0,sparse,,sparse,1568,0.0,0.0,0.0,0.0,1568,0.0,0.0,0.0,0.0,1568,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1568,1.0,0.036989795918367346,0.0,0.18873672381464315,False,1568,1.0,0.036989795918367346,0.0,0.18873672381464315,1568,0.0,0.0,0.0,0.0,1568,0.0,0.0,0.0,0.0,1568,0.0,0.0,0.0,0.0,0.2800691176083468,0.2800691176083468,0.7199308823916533,0.7199308823916533,4899959740872704.0,1514602.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-1.5B-Instruct/r64/seed42/K2_L2048_S196,True,core_scaling,42,42,0.036989795918367346,stageA,0.0,0.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-1.5B-Instruct/r64/seed42/K2_L2048_S196/logs/summary.json,0.5,,1.749553746845051e+16,1617573376,,,,,,,,,,,,73859072,0.85,0.85,0.8568490622832803,1.2595577727577808e+16,1514602.0,,,,,,1000,,,12345,1000,0.0,1.0,0.0,,,,0.0,,
2,2048,1552946688,0,208,0.034254807692307696,a100,1552946688,6.0,2.0,0,C1,0.034254807692307696,polaris53k,0.0,0.0,5.0,0.005945074657965335,,,,8,,,0.001,,16.25055328333413,16,,8,8,,2048,,208,Qwen/Qwen2.5-1.5B-Instruct,Qwen__Qwen2.5-1.5B-Instruct,2,,runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-1.5B-Instruct/r8/seed42/K2_L2048_S208,,1.0,0.034254807692307696,0.0,0.1818829729311425,0.8,0.0,cuda,False,64,,0.0,1.0,0,0.0,,,,,,,,False,1664,0.0,0.0,0.0,0.0,1664,0.0,0.0,0.0,0.0,1.0,-1.0,1664,0.0,0.0,0.0,0.0,1664,0.0,0.0,0.0,0.0,1664,0.0,0.0,0.0,0.0,1664,0.0,0.0,0.0,0.0,1664,0.0,0.0,0.0,0.0,sparse,,sparse,1664,0.0,0.0,0.0,0.0,1664,0.0,0.0,0.0,0.0,1664,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1664,1.0,0.034254807692307696,0.0,0.1818829729311425,False,1664,1.0,0.034254807692307696,0.0,0.1818829729311425,1664,0.0,0.0,0.0,0.0,1664,0.0,0.0,0.0,0.0,1664,0.0,0.0,0.0,0.0,0.28147801872502726,0.28147801872502726,0.7185219812749728,0.7185219812749728,5011846587436032.0,1613657.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-1.5B-Instruct/r8/seed42/K2_L2048_S208,True,core_scaling,42,42,0.034254807692307696,stageA,0.0,0.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-1.5B-Instruct/r8/seed42/K2_L2048_S208/logs/summary.json,0.5,,1.780546349635937e+16,1552946688,,,,,,,,,,,,9232384,0.85,0.85,0.8508917611986948,1.2793616908923338e+16,1613657.0,,,,,,1000,,,12345,1000,0.0,1.0,0.0,,,,0.0,,
2,2048,3325407232,0,95,0.042105263157894736,a100,3325407232,6.0,2.0,0,C1,0.042105263157894736,polaris53k,0.0,0.0,5.0,0.07201179503539373,,,,8,,,0.001,,16.226756966922675,256,,128,128,,2048,,95,Qwen/Qwen2.5-3B-Instruct,Qwen__Qwen2.5-3B-Instruct,2,,runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r128/seed42/K2_L2048_S95,,1.0,0.042105263157894736,0.0,0.20082930556146225,0.8,0.0,cuda,False,64,,0.0,1.0,0,0.0,,,,,,,,False,760,0.0,0.0,0.0,0.0,760,0.0,0.0,0.0,0.0,1.0,-1.0,760,0.0,0.0,0.0,0.0,760,0.0,0.0,0.0,0.0,760,0.0,0.0,0.0,0.0,760,0.0,0.0,0.0,0.0,760,0.0,0.0,0.0,0.0,sparse,,sparse,760,0.0,0.0,0.0,0.0,760,0.0,0.0,0.0,0.0,760,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,760,1.0,0.042105263157894736,0.0,0.20082930556146225,False,760,1.0,0.042105263157894736,0.0,0.20082930556146225,760,0.0,0.0,0.0,0.0,760,0.0,0.0,0.0,0.0,760,0.0,0.0,0.0,0.0,0.2791420607356188,0.27914206073561887,0.7208579392643812,0.7208579392643814,4705245058031616.0,707469.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r128/seed42/K2_L2048_S95,True,core_scaling,42,42,0.042105263157894736,stageA,0.0,0.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r128/seed42/K2_L2048_S95/logs/summary.json,0.5,,1.6856094870231862e+16,3325407232,,,,,,,,,,,,239468544,0.85,0.85,0.860801769255309,1.215084981220025e+16,707469.0,,,,,,1000,,,12345,1000,0.0,1.0,0.0,,,,0.0,,
2,2048,3115872256,0,102,0.05024509803921569,a100,3115872256,6.0,2.0,0,C1,0.05024509803921569,polaris53k,0.0,0.0,5.0,0.009606802057548793,,,,8,,,0.001,,16.2225299038603,32,,16,16,,2048,,102,Qwen/Qwen2.5-3B-Instruct,Qwen__Qwen2.5-3B-Instruct,2,,runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r16/seed42/K2_L2048_S102,,1.0,0.05024509803921569,0.0,0.21845028762225352,0.8,0.0,cuda,False,64,,0.0,1.0,0,0.0,,,,,,,,False,816,0.0,0.0,0.0,0.0,816,0.0,0.0,0.0,0.0,1.0,-1.0,816,0.0,0.0,0.0,0.0,816,0.0,0.0,0.0,0.0,816,0.0,0.0,0.0,0.0,816,0.0,0.0,0.0,0.0,816,0.0,0.0,0.0,0.0,sparse,,sparse,816,0.0,0.0,0.0,0.0,816,0.0,0.0,0.0,0.0,816,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,816,1.0,0.05024509803921569,0.0,0.21845028762225352,False,816,1.0,0.05024509803921569,0.0,0.21845028762225352,816,0.0,0.0,0.0,0.0,816,0.0,0.0,0.0,0.0,816,0.0,0.0,0.0,0.0,0.28134752605732505,0.28134752605732505,0.718652473942675,0.718652473942675,4696485702279168.0,753639.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r16/seed42/K2_L2048_S102,True,core_scaling,42,42,0.05024509803921569,stageA,0.0,0.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r16/seed42/K2_L2048_S102/logs/summary.json,0.5,,1.6692827436919602e+16,3115872256,,,,,,,,,,,,29933568,0.85,0.85,0.8514410203086323,1.1996341734640434e+16,753639.0,,,,,,1000,,,12345,1000,0.0,1.0,0.0,,,,0.0,,
2,2048,3145805824,0,100,0.0525,a100,3145805824,6.0,2.0,0,C1,0.0525,polaris53k,0.0,0.0,5.0,0.019030779186452417,,,,8,,,0.001,,16.224571249735508,64,,32,32,,2048,,100,Qwen/Qwen2.5-3B-Instruct,Qwen__Qwen2.5-3B-Instruct,2,,runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r32/seed42/K2_L2048_S100,,1.0,0.0525,0.0,0.22303306929690941,0.8,0.0,cuda,False,64,,0.0,1.0,0,0.0,,,,,,,,False,800,0.0,0.0,0.0,0.0,800,0.0,0.0,0.0,0.0,1.0,-1.0,800,0.0,0.0,0.0,0.0,800,0.0,0.0,0.0,0.0,800,0.0,0.0,0.0,0.0,800,0.0,0.0,0.0,0.0,800,0.0,0.0,0.0,0.0,sparse,,sparse,800,0.0,0.0,0.0,0.0,800,0.0,0.0,0.0,0.0,800,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,800,1.0,0.0525,0.0,0.22303306929690941,False,800,1.0,0.0525,0.0,0.22303306929690941,800,0.0,0.0,0.0,0.0,800,0.0,0.0,0.0,0.0,800,0.0,0.0,0.0,0.0,0.2810122403232601,0.28101224032326005,0.7189877596767399,0.7189877596767398,4712989661011968.0,749091.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r32/seed42/K2_L2048_S100,True,core_scaling,42,42,0.0525,stageA,0.0,0.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r32/seed42/K2_L2048_S100/logs/summary.json,0.5,,1.677147463608852e+16,3145805824,,,,,,,,,,,,59867136,0.85,0.85,0.8528546168779678,1.205848497507655e+16,749091.0,,,,,,1000,,,12345,1000,0.0,1.0,0.0,,,,0.0,,
2,2048,3205672960,0,98,0.05357142857142857,a100,3205672960,6.0,2.0,0,C1,0.05357142857142857,polaris53k,0.0,0.0,5.0,0.03735074459997317,,,,8,,,0.001,,16.218067374088953,128,,64,64,,2048,,98,Qwen/Qwen2.5-3B-Instruct,Qwen__Qwen2.5-3B-Instruct,2,,runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r64/seed42/K2_L2048_S98,,1.0,0.05357142857142857,0.0,0.2251700038021159,0.8,0.0,cuda,False,64,,0.0,1.0,0,0.0,,,,,,,,False,784,0.0,0.0,0.0,0.0,784,0.0,0.0,0.0,0.0,1.0,-1.0,784,0.0,0.0,0.0,0.0,784,0.0,0.0,0.0,0.0,784,0.0,0.0,0.0,0.0,784,0.0,0.0,0.0,0.0,784,0.0,0.0,0.0,0.0,sparse,,sparse,784,0.0,0.0,0.0,0.0,784,0.0,0.0,0.0,0.0,784,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,784,1.0,0.05357142857142857,0.0,0.2251700038021159,False,784,1.0,0.05357142857142857,0.0,0.2251700038021159,784,0.0,0.0,0.0,0.0,784,0.0,0.0,0.0,0.0,784,0.0,0.0,0.0,0.0,0.2803627350393488,0.2803627350393487,0.7196372649606512,0.7196372649606511,4632203838545920.0,722501.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r64/seed42/K2_L2048_S98,True,core_scaling,42,42,0.05357142857142857,stageA,0.0,0.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r64/seed42/K2_L2048_S98/logs/summary.json,0.5,,1.652218094496686e+16,3205672960,,,,,,,,,,,,119734272,0.85,0.85,0.855602611689996,1.1889977106420936e+16,722501.0,,,,,,1000,,,12345,1000,0.0,1.0,0.0,,,,0.0,,
2,2048,3100905472,0,104,0.051682692307692304,a100,3100905472,6.0,2.0,0,C1,0.051682692307692304,polaris53k,0.0,0.0,5.0,0.0048265850523804684,,,,8,,,0.001,,16.239340268710624,16,,8,8,,2048,,104,Qwen/Qwen2.5-3B-Instruct,Qwen__Qwen2.5-3B-Instruct,2,,runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r8/seed42/K2_L2048_S104,,1.0,0.051682692307692304,0.0,0.22138561747214003,0.8,0.0,cuda,False,64,,0.0,1.0,0,0.0,,,,,,,,False,832,0.0,0.0,0.0,0.0,832,0.0,0.0,0.0,0.0,1.0,-1.0,832,0.0,0.0,0.0,0.0,832,0.0,0.0,0.0,0.0,832,0.0,0.0,0.0,0.0,832,0.0,0.0,0.0,0.0,832,0.0,0.0,0.0,0.0,sparse,,sparse,832,0.0,0.0,0.0,0.0,832,0.0,0.0,0.0,0.0,832,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,832,1.0,0.051682692307692304,0.0,0.22138561747214003,False,832,1.0,0.051682692307692304,0.0,0.22138561747214003,832,0.0,0.0,0.0,0.0,832,0.0,0.0,0.0,0.0,832,0.0,0.0,0.0,0.0,0.2815179023817391,0.2815179023817391,0.7184820976182609,0.7184820976182609,4884794371932160.0,787640.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r8/seed42/K2_L2048_S104,True,core_scaling,42,42,0.051682692307692304,stageA,0.0,0.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-3B-Instruct/r8/seed42/K2_L2048_S104/logs/summary.json,0.5,,1.7351629614333954e+16,3100905472,,,,,,,,,,,,14966784,0.85,0.85,0.8507239877578571,1.2466835242401794e+16,787640.0,,,,,,1000,,,12345,1000,0.0,1.0,0.0,,,,0.0,,
2,2048,7938577920,0,41,0.06097560975609756,a100,7938577920,6.0,2.0,0,C1,0.06097560975609756,polaris53k,0.0,0.0,5.0,0.04068252667601202,,,,8,,,0.001,,16.237383814139953,256,,128,128,,2048,,41,Qwen/Qwen2.5-7B-Instruct,Qwen__Qwen2.5-7B-Instruct,2,,runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-7B-Instruct/r128/seed42/K2_L2048_S41,,1.0,0.06097560975609756,0.0,0.23928557158961689,0.8,0.0,cuda,False,64,,0.0,1.0,0,0.0,,,,,,,,False,328,0.0,0.0,0.0,0.0,328,0.0,0.0,0.0,0.0,1.0,-1.0,328,0.0,0.0,0.0,0.0,328,0.0,0.0,0.0,0.0,328,0.0,0.0,0.0,0.0,328,0.0,0.0,0.0,0.0,328,0.0,0.0,0.0,0.0,sparse,,sparse,328,0.0,0.0,0.0,0.0,328,0.0,0.0,0.0,0.0,328,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,328,1.0,0.06097560975609756,0.0,0.23928557158961689,False,328,1.0,0.06097560975609756,0.0,0.23928557158961689,328,0.0,0.0,0.0,0.0,328,0.0,0.0,0.0,0.0,328,0.0,0.0,0.0,0.0,0.2802449345320528,0.28024493453205274,0.7197550654679472,0.719755065467947,4840849552680960.0,304894.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-7B-Instruct/r128/seed42/K2_L2048_S41,True,core_scaling,42,42,0.06097560975609756,stageA,0.0,0.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-7B-Instruct/r128/seed42/K2_L2048_S41/logs/summary.json,0.5,,1.7273638007995084e+16,7938577920,,,,,,,,,,,,322961408,0.85,0.85,0.8561023790014017,1.243278845531412e+16,304894.0,,,,,,1000,,,12345,1000,0.0,1.0,0.0,,,,0.0,,
2,2048,7655986688,0,44,0.05397727272727273,a100,7655986688,6.0,2.0,0,C1,0.05397727272727273,polaris53k,0.0,0.0,5.0,0.005273020662807088,,,,8,,,0.001,,16.265069890022907,32,,16,16,,2048,,44,Qwen/Qwen2.5-7B-Instruct,Qwen__Qwen2.5-7B-Instruct,2,,runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-7B-Instruct/r16/seed42/K2_L2048_S44,,1.0,0.05397727272727273,0.0,0.2259728451743668,0.8,0.0,cuda,False,64,,0.0,1.0,0,0.0,,,,,,,,False,352,0.0,0.0,0.0,0.0,352,0.0,0.0,0.0,0.0,1.0,-1.0,352,0.0,0.0,0.0,0.0,352,0.0,0.0,0.0,0.0,352,0.0,0.0,0.0,0.0,352,0.0,0.0,0.0,0.0,352,0.0,0.0,0.0,0.0,sparse,,sparse,352,0.0,0.0,0.0,0.0,352,0.0,0.0,0.0,0.0,352,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,352,1.0,0.05397727272727273,0.0,0.2259728451743668,False,352,1.0,0.05397727272727273,0.0,0.2259728451743668,352,0.0,0.0,0.0,0.0,352,0.0,0.0,0.0,0.0,352,0.0,0.0,0.0,0.0,0.2815019818042243,0.2815019818042243,0.7184980181957755,0.7184980181957755,5182643628574720.0,338470.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-7B-Instruct/r16/seed42/K2_L2048_S44,True,core_scaling,42,42,0.05397727272727273,stageA,0.0,0.0,/sc/home/patrick.wilhelm/aihpi_rl/runs_spot_alloc_scaling/core_scaling/C1/sparse/a100/Qwen__Qwen2.5-7B-Instruct/r16/seed42/K2_L2048_S44/logs/summary.json,0.5,,1.8410682565563904e+16,7655986688,,,,,,,,,,,,40370176,0.85,0.85,0.850790953099421,1.3228038936989182e+16,338470.0,,,,,,1000,,,12345,1000,0.0,1.0,0.0,,,,0.0,,
